도시수:20
시드:1573193184해집단 크기:1000	세대수:10000	교차율:0.8	변이율:0.8
실행시간	17.27초
전체 거리	3.657
10	0.238	0.274
19	0.437	0.238
2	0.457	0.148
5	0.534	0.222
7	0.921	0.103
11	0.959	0.210
18	0.655	0.342
9	0.703	0.478
4	0.823	0.557
8	0.897	0.677
3	0.778	0.753
1	0.689	0.831
14	0.629	0.953
16	0.491	0.808
6	0.336	0.860
12	0.225	0.872
17	0.047	0.807
13	0.059	0.559
0	0.333	0.528
15	0.143	0.305
10	0.238	0.274
