도시수:50
시드:1573543055해집단 크기:1000	세대수:32093	교차율:0.7	변이율:0.2
실행시간	56.75초
전체 거리	5.803
28	0.327	0.432
8	0.509	0.344
17	0.549	0.288
27	0.399	0.265
6	0.257	0.167
3	0.276	0.140
15	0.173	0.073
43	0.211	0.011
48	0.283	0.048
2	0.325	0.070
7	0.425	0.033
30	0.392	0.108
47	0.463	0.193
35	0.553	0.171
5	0.736	0.146
26	0.894	0.123
16	0.959	0.044
25	0.962	0.228
39	0.965	0.247
10	0.879	0.250
1	0.859	0.374
29	0.936	0.384
34	0.852	0.635
23	0.912	0.815
14	0.857	0.908
31	0.867	0.999
24	0.760	0.811
22	0.637	0.632
45	0.660	0.614
20	0.652	0.477
0	0.566	0.589
32	0.479	0.604
46	0.580	0.677
11	0.561	0.753
49	0.515	0.735
33	0.462	0.909
37	0.469	0.931
44	0.366	0.995
18	0.215	0.776
12	0.108	0.832
42	0.028	0.653
9	0.070	0.639
38	0.106	0.537
13	0.051	0.456
40	0.026	0.346
36	0.167	0.246
4	0.192	0.346
19	0.234	0.431
21	0.257	0.481
41	0.313	0.443
28	0.327	0.432
